+====================+===================+============================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                        |
+====================+===================+============================================================================================================+
| clk_cpu_pll        | clk_cpu_pll       | u_DirectLRU/FSM_sequential_lru_state_reg[2]/D                                                              |
| clk_cpu_pll        | clk_cpu_pll       | u_DirectLRU/u_MemController/mem_ex/ws_sync/flag_sync_reg[0]/D                                              |
| clk_cpu_pll        | clk_cpu_pll       | u_DirectLRU/u_MemController/mem_ex/rs_sync/flag_sync_reg[0]/D                                              |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[7]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[4]/CE                                                                             |
| clk_cpu_pll        | clk_cpu_pll       | u_DirectLRU/FSM_sequential_lru_state_reg[0]/D                                                              |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[5]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[6]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[21]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[22]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[23]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[20]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[13]/CE                                                                            |
| sys_clk_pin        | clk_sd_pll        | u_IO_Management/u_vga_demo/square_unit/numBuffer_reg[74][334]/D                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[17]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[14]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[16]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[3]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[19]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[18]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[12]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[15]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[0]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[2]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[1]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[10]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[8]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[11]/CE                                                                            |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/hitTotal_reg[9]/CE                                                                             |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[20]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[22]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[23]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[21]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[16]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[17]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[18]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[19]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[14]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[13]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[12]/CE                                                                        |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[18]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[19]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[17]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[16]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[20]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[21]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[22]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[23]/CE                                                                      |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[4]/CE                                                                         |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[5]/CE                                                                         |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[6]/CE                                                                         |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[7]/CE                                                                         |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[1]/CE                                                                         |
