LXT2 info: dumpfile dump.lx2 opened for output.
Current Number:    1, Prime? 0, Clocks:           4, Primes:   0

Current Number:    2, Prime? 1, Clocks:           8, Primes:   1

Current Number:    3, Prime? 1, Clocks:          12, Primes:   2

Current Number:    5, Prime? 1, Clocks:          16, Primes:   3

Current Number:    7, Prime? 1, Clocks:          20, Primes:   4

Current Number:    9, Prime? 0, Clocks:          24, Primes:   4

Current Number:   11, Prime? 1, Clocks:          28, Primes:   5

Current Number:   13, Prime? 1, Clocks:          32, Primes:   6

Current Number:   15, Prime? 0, Clocks:          36, Primes:   6

Current Number:   17, Prime? 1, Clocks:          40, Primes:   7

Current Number:   19, Prime? 1, Clocks:          44, Primes:   8

Current Number:   21, Prime? 0, Clocks:          48, Primes:   8

Current Number:   23, Prime? 1, Clocks:          52, Primes:   9

Current Number:   25, Prime? 0, Clocks:          56, Primes:   9

Current Number:   27, Prime? 0, Clocks:          60, Primes:   9

Current Number:   29, Prime? 1, Clocks:          64, Primes:  10

Current Number:   31, Prime? 1, Clocks:          68, Primes:  11

Current Number:   33, Prime? 0, Clocks:          72, Primes:  11

Current Number:   35, Prime? 0, Clocks:          76, Primes:  11

Current Number:   37, Prime? 1, Clocks:          80, Primes:  12

Current Number:   39, Prime? 0, Clocks:          84, Primes:  12

Current Number:   41, Prime? 1, Clocks:          88, Primes:  13

Current Number:   43, Prime? 1, Clocks:          92, Primes:  14

Current Number:   45, Prime? 0, Clocks:          96, Primes:  14

Current Number:   47, Prime? 1, Clocks:         100, Primes:  15

Current Number:   49, Prime? 0, Clocks:         104, Primes:  15

Current Number:   51, Prime? 0, Clocks:         108, Primes:  15

Current Number:   53, Prime? 1, Clocks:         112, Primes:  16

Current Number:   55, Prime? 0, Clocks:         116, Primes:  16

Current Number:   57, Prime? 0, Clocks:         120, Primes:  16

Current Number:   59, Prime? 1, Clocks:         124, Primes:  17

Current Number:   61, Prime? 1, Clocks:         128, Primes:  18

Current Number:   63, Prime? 0, Clocks:         132, Primes:  18

Current Number:   65, Prime? 0, Clocks:         136, Primes:  18

Current Number:   67, Prime? 1, Clocks:         140, Primes:  19

Current Number:   69, Prime? 0, Clocks:         144, Primes:  19

Current Number:   71, Prime? 1, Clocks:         148, Primes:  20

Current Number:   73, Prime? 1, Clocks:         152, Primes:  21

Current Number:   75, Prime? 0, Clocks:         156, Primes:  21

Current Number:   77, Prime? 0, Clocks:         160, Primes:  21

Current Number:   79, Prime? 1, Clocks:         164, Primes:  22

Current Number:   81, Prime? 0, Clocks:         168, Primes:  22

Current Number:   83, Prime? 1, Clocks:         172, Primes:  23

Current Number:   85, Prime? 0, Clocks:         176, Primes:  23

Current Number:   87, Prime? 0, Clocks:         180, Primes:  23

Current Number:   89, Prime? 1, Clocks:         184, Primes:  24

Current Number:   91, Prime? 0, Clocks:         188, Primes:  24

Current Number:   93, Prime? 0, Clocks:         192, Primes:  24

Current Number:   95, Prime? 0, Clocks:         196, Primes:  24

Current Number:   97, Prime? 1, Clocks:         200, Primes:  25

Current Number:   99, Prime? 0, Clocks:         204, Primes:  25

Current Number:  101, Prime? 1, Clocks:         208, Primes:  26

Current Number:  103, Prime? 1, Clocks:         212, Primes:  27

Current Number:  105, Prime? 0, Clocks:         216, Primes:  27

Current Number:  107, Prime? 1, Clocks:         220, Primes:  28

Current Number:  109, Prime? 1, Clocks:         224, Primes:  29

Current Number:  111, Prime? 0, Clocks:         228, Primes:  29

Current Number:  113, Prime? 1, Clocks:         232, Primes:  30

Current Number:  115, Prime? 0, Clocks:         236, Primes:  30

Current Number:  117, Prime? 0, Clocks:         240, Primes:  30

Current Number:  119, Prime? 0, Clocks:         244, Primes:  30

